,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"CW2-DB18",,"","",15,0,0,15,,0,0,,0
"CW2-DB21",,"","",10,0,0,10,,0,0,,0
"CW2-DB24",,"","",9,0,0,9,,0,0,,0
"CW2-DB30",,"","",8,0,0,8,,0,0,,0
"CW2-DB36",,"","",7,0,0,7,,0,0,,0
"CW2-DDB30",,"","",0,0,0,0,,0,0,,0
"CW2-DDB36",,"","",0,0,0,0,,0,0,,0
"CW2-DWP",,"","",12,0,0,12,,0,0,,0
"CW2-FSB33",,"","",0,0,0,0,,0,0,,0
"CW2-FSB39",,"","",0,0,0,0,,0,0,,0
"CW2-GW1530-BOX",,"","",0,0,0,0,,0,0,,0
"CW2-GW1530-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CW2-GW1539-BOX",,"","",3,0,0,3,,0,0,,0
"CW2-GW1539-GLASS DOOR",,"","",7,0,0,7,,0,0,,0
"CW2-GW1830-BOX",,"","",0,0,0,0,,0,0,,0
"CW2-GW1830-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CW2-GW1839-BOX",,"","",1,0,0,1,,0,0,,0
"CW2-GW1839-GLASS DOOR",,"","",5,0,0,5,,0,0,,0
"CW2-GW2430-BOX",,"","",0,0,0,0,,0,0,,0
"CW2-GW2430-GLASS DOOR",,"","",2,0,0,2,,0,0,,0
"CW2-GW2439-BOX",,"","",0,0,0,0,,0,0,,0
"CW2-GW2439-GLASS DOOR",,"","",9,0,0,9,,0,0,,0
"CW2-GW3030-BOX",,"","",0,0,0,0,,0,0,,0
"CW2-GW3030-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CW2-GW3039-BOX",,"","",3,0,0,3,,0,0,,0
"CW2-GW3039-GLASS DOOR",,"","",11,0,0,11,,0,0,,0
"CW2-GW3630-BOX",,"","",5,0,0,5,,0,0,,0
"CW2-GW3630-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CW2-GW3639-BOX",,"","",3,0,0,3,,0,0,,0
"CW2-GW3639-GLASS DOOR",,"","",9,0,0,9,,0,0,,0
"CW2-GWDC2430-BOX",,"","",0,0,0,0,,0,0,,0
"CW2-GWDC2430-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CW2-GWDC2439-BOX",,"","",1,0,0,1,,2,0,"12/11/2023",0
"CW2-GWDC2439-GLASS DOOR",,"","",-2,0,0,-2,,2,0,"12/11/2023",0
"CW2-LM8",,"","",10,0,0,10,,0,0,,0
"CW2-LSB33",,"","",18,0,0,18,,0,0,,0
"CW2-LSB36",,"","",37,0,0,37,,1,0,"12/11/2023",0
"CW2-MWC2730",,"","",0,0,0,0,,0,0,,0
"CW2-MWC2739",,"","",2,0,0,2,,0,0,,0
"CW2-MWC3030",,"","",1,0,0,1,,0,0,,0
"CW2-MWC3039",,"","",0,0,0,0,,0,0,,0
"CW2-OC3384",,"","",0,0,0,0,,0,0,,0
"CW2-OC3393",,"","",2,0,0,2,,0,0,,0
"CW2-OCM8",,"","",25,0,0,25,,1,0,"12/11/2023",0
"CW2-ONL-RB3*3",,"","",0,0,0,0,,0,0,,0
"CW2-PC1884",,"","",6,0,0,6,,0,0,,0
"CW2-PC1893",,"","",14,0,0,14,,0,0,,0
"CW2-PC2484",,"","",0,0,0,0,,0,0,,0
"CW2-PC2493",,"","",14,0,0,14,,0,0,,0
"CW2-PC3084",,"","",1,0,0,1,,0,0,,0
"CW2-PC3093",,"","",2,0,0,2,,0,0,,0
"CW2-PN4896",,"","",38,0,0,38,,1,0,"12/11/2023",0
"CW2-PRC3018",,"","",0,0,0,0,,0,0,,0
"CW2-RC58",,"","",4,0,0,4,,0,0,,0
"CW2-REF2496",,"","",1,0,0,1,,0,0,,0
"CW2-REF3096",,"","",11,0,0,11,,0,0,,0
"CW2-ROT18",,"","",0,0,0,0,,0,0,,0
"CW2-ROT24",,"","",0,0,0,0,,0,0,,0
"CW2-ROT30",,"","",0,0,0,0,,0,0,,0
"CW2-ROT33",,"","",0,0,0,0,,0,0,,0
"CW2-ROT36",,"","",0,0,0,0,,0,0,,0
"CW2-SAMPLE DOOR",,"","",32,0,0,32,,0,0,,0
"CW2-SB27",,"","",2,0,0,2,,0,0,,0
"CW2-SB30",,"","",35,0,0,35,,0,0,,0
"CW2-SB33",,"","",9,0,0,9,,0,0,,0
"CW2-SB36",,"","",31,0,0,31,,1,0,"12/11/2023",0
"CW2-SBA36",,"","",4,0,0,4,,0,0,,0
"CW2-SHG30",,"","",0,0,0,0,,0,0,,0
"CW2-SM8",,"","",8,0,0,8,,2,0,"12/11/2023",0
"CW2-SOB",,"","",0,0,0,0,,0,0,,0
"CW2-SP3*34.5",,"","",0,0,0,0,,0,0,,0
"CW2-TK8",,"","",127,0,0,127,,3,0,"12/11/2023",0
"CW2-TOUCH UP",,"","",5,0,0,5,,0,0,,0
"CW2-VA2421",,"","",1,0,0,1,,0,0,,0
"CW2-VA3021",,"","",0,0,0,0,,0,0,,0
"CW2-VA3621",,"","",0,0,0,0,,0,0,,0
"CW2-VAD3021-L",,"","",0,0,0,0,,0,0,,0
"CW2-VAD3021-R",,"","",0,0,0,0,,0,0,,0
"CW2-VAD3621-L",,"","",0,0,0,0,,0,0,,0
"CW2-VAD3621-R",,"","",0,0,0,0,,0,0,,0
"CW2-VAD4821",,"","",0,0,0,0,,0,0,,0
"CW2-VAS36",,"","",0,0,0,0,,0,0,,0
"CW2-VAS48",,"","",0,0,0,0,,0,0,,0
"CW2-VAS72",,"","",4,0,0,4,,0,0,,0
"CW2-VDB12",,"","",1,0,0,1,,0,0,,0
"CW2-VDB15",,"","",0,0,0,0,,0,0,,0
"CW2-W0930",,"","",8,0,0,8,,0,0,,0
"CW2-W0939",,"","",19,0,0,19,,1,0,"12/11/2023",0
"CW2-W1230",,"","",22,0,0,22,,0,0,,0
"CW2-W1239",,"","",12,0,0,12,,2,0,"12/11/2023",0
"CW2-W1530",,"","",14,0,0,14,,0,0,,0
"CW2-W1539",,"","",21,0,0,21,,0,0,,0
"CW2-W1830",,"","",10,0,0,10,,0,0,,0
"CW2-W1839",,"","",16,0,0,16,,0,0,,0
"CW2-W2130",,"","",15,0,0,15,,0,0,,0
"CW2-W2139",,"","",5,0,0,5,,1,0,"12/11/2023",0
"CW2-W2412",,"","",0,0,0,0,,0,0,,0
"CW2-W2415",,"","",0,0,0,0,,0,0,,0
"CW2-W2418",,"","",0,0,0,0,,0,0,,0
"CW2-W2421",,"","",0,0,0,0,,0,0,,0
"CW2-W2424",,"","",0,0,0,0,,0,0,,0
"CW2-W2430",,"","",21,0,0,21,,0,0,,0
"CW2-W2439",,"","",34,0,0,34,,0,0,,0
"CW2-W2730",,"","",15,0,0,15,,0,0,,0
"CW2-W2739",,"","",14,0,0,14,,1,0,"12/11/2023",0
"CW2-W3012",,"","",1,0,0,1,,0,0,,0
"CW2-W301224",,"","",0,0,0,0,,0,0,,0
"CW2-W3015",,"","",3,0,0,3,,0,0,,0
"CW2-W301524",,"","",0,0,0,0,,0,0,,0
"CW2-W3018",,"","",7,0,0,7,,0,0,,0
"CW2-W301824",,"","",3,0,0,3,,0,0,,0
"CW2-W3021",,"","",11,0,0,11,,1,0,"12/11/2023",0
"CW2-W302124",,"","",0,0,0,0,,0,0,,0
"CW2-W3024",,"","",4,0,0,4,,0,0,,0
"CW2-W302424",,"","",0,0,0,0,,0,0,,0
"CW2-W3030",,"","",13,0,0,13,,0,0,,0
"CW2-W3039",,"","",14,0,0,14,,0,0,,0
"CW2-W3312",,"","",0,0,0,0,,0,0,,0
"CW2-W331224",,"","",0,0,0,0,,0,0,,0
"CW2-W3315",,"","",0,0,0,0,,0,0,,0
"CW2-W331524",,"","",0,0,0,0,,0,0,,0
"CW2-W3318",,"","",0,0,0,0,,0,0,,0
"CW2-W3321",,"","",0,0,0,0,,0,0,,0
"CW2-W332124",,"","",0,0,0,0,,0,0,,0
"CW2-W3324",,"","",0,0,0,0,,0,0,,0
"CW2-W332424",,"","",0,0,0,0,,0,0,,0
"CW2-W3330",,"","",2,0,0,2,,0,0,,0
"CW2-W3339",,"","",7,0,0,7,,2,0,"12/11/2023",0
"CW2-W3612",,"","",0,0,0,0,,0,0,,0
"CW2-W361224",,"","",0,0,0,0,,0,0,,0
"CW2-W3615",,"","",0,0,0,0,,0,0,,0
"CW2-W361524",,"","",1,0,0,1,,0,0,,0
"CW2-W3618",,"","",0,0,0,0,,0,0,,0
"CW2-W361824",,"","",7,0,0,7,,0,0,,0
