,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"CW2-DDB30",,"","",36,0,0,36,,0,0,,0
"CW2-DDB36",,"","",20,0,0,20,,0,0,,0
"CW2-DWP",,0,0,39,107,0,-68,,5,0,"05/30/2019",7
"CW2-FSB33",,"","",2,0,0,2,,0,0,,0
"CW2-FSB39",,"","",37,0,0,37,,0,0,,0
"CW2-GW1530-BOX",,0,0,1,1,0,0,,0,0,,0
"CW2-GW1530-GLASS DOOR",,0,0,0,0,0,0,,2,0,"10/09/2020",0
"CW2-GW1539-BOX",,0,0,3,7,0,-4,,0,0,,0
"CW2-GW1539-GLASS DOOR",,0,0,0,0,0,0,"X",0,1,,0
"CW2-GW1830-BOX",,0,0,2,10,0,-8,,0,0,,0
"CW2-GW1830-GLASS DOOR",,0,0,2,0,0,2,,0,0,,0
"CW2-GW1839-BOX",,0,0,0,7,0,-7,"X",0,1,,0
"CW2-GW1839-GLASS DOOR",,0,0,3,0,0,3,,0,0,,0
"CW2-GW2430-BOX",,0,0,7,6,0,1,,0,0,,0
"CW2-GW2430-GLASS DOOR",,0,0,14,0,0,14,,0,0,,0
"CW2-GW2439-BOX",,0,0,6,0,0,6,,0,0,,0
"CW2-GW2439-GLASS DOOR",,0,0,22,0,0,22,,0,0,,0
"CW2-GW3030-BOX",,0,0,2,0,0,2,,0,0,,0
"CW2-GW3030-GLASS DOOR",,0,0,7,84,0,-77,,0,0,,0
"CW2-GW3039-BOX",,0,0,10,1,0,9,,0,0,,0
"CW2-GW3039-GLASS DOOR",,0,0,15,0,0,15,,0,0,,0
"CW2-GW3630-BOX",,0,0,2,0,0,2,,0,0,,0
"CW2-GW3630-GLASS DOOR",,0,0,5,0,0,5,,0,0,,0
"CW2-GW3639-BOX",,0,0,5,0,0,5,,0,0,,0
"CW2-GW3639-GLASS DOOR",,0,0,10,0,0,10,,0,0,,0
"CW2-GWDC2430-BOX",,0,0,5,19,0,-14,,0,0,,0
"CW2-GWDC2430-GLASS DOOR",,0,0,10,0,0,10,,0,0,,0
"CW2-GWDC2439-BOX",,0,0,7,0,0,7,,0,0,,0
"CW2-GWDC2439-GLASS DOOR",,0,0,7,0,0,7,,2,0,"01/07/2019",0
"CW2-LM8",,0,0,44,110,0,-66,,0,0,,0
"CW2-LSB33",,0,0,5,8,0,-3,,0,0,,0
"CW2-LSB36",,0,0,33,34,0,-1,,0,0,,0
"CW2-MWC2730",,0,0,3,0,0,3,,0,0,,0
"CW2-MWC2739",,0,0,3,7,0,-4,,0,0,,0
"CW2-MWC3030",,0,0,0,0,0,0,"X",0,1,,0
"CW2-MWC3039",,0,0,2,4,0,-2,,0,0,,0
"CW2-OC3384",,"","",11,0,0,11,,0,0,,0
"CW2-OC3393",,"","",1,0,0,1,,0,0,,0
"CW2-OCM8",,0,0,26,0,0,26,,0,0,,0
"CW2-ONL-RB3*3",,0,0,17,20,0,-3,,0,0,,0
"CW2-PC1884",,0,0,6,24,0,-18,,0,0,,0
"CW2-PC1893",,0,0,8,43,0,-35,,0,0,,0
"CW2-PC2484",,0,0,3,3,0,0,,0,0,,0
"CW2-PC2493",,0,0,0,16,0,-16,"X",0,1,,0
"CW2-PC3084",,"","",1,0,0,1,,0,0,,0
"CW2-PC3093",,"","",3,0,0,3,,0,0,,0
"CW2-PN4896",,0,0,35,24,0,11,,0,0,,0
"CW2-PRC3018",,0,0,2,0,0,2,,0,0,,0
"CW2-RC58",,0,0,8,6,0,2,,0,0,,0
"CW2-REF2496",,0,0,125,25,0,100,,1,0,"11/27/2019",0
